,files,target
0,cat_train (1).jpeg,cat
1,cat_train (10).jpeg,cat
2,cat_train (100).jpeg,cat
3,cat_train (1000).jpeg,cat
4,cat_train (1001).jpeg,cat
5,cat_train (1002).jpeg,cat
6,cat_train (1003).jpeg,cat
7,cat_train (1004).jpeg,cat
8,cat_train (1005).jpeg,cat
9,cat_train (1006).jpeg,cat
10,cat_train (1007).jpeg,cat
11,cat_train (1008).jpeg,cat
12,cat_train (1009).jpeg,cat
13,cat_train (101).jpeg,cat
14,cat_train (1010).jpeg,cat
15,cat_train (1011).jpeg,cat
16,cat_train (1012).jpeg,cat
17,cat_train (1013).jpeg,cat
18,cat_train (1014).jpeg,cat
19,cat_train (1015).jpeg,cat
20,cat_train (1016).jpeg,cat
21,cat_train (1017).jpeg,cat
22,cat_train (1018).jpeg,cat
23,cat_train (1019).jpeg,cat
24,cat_train (102).jpeg,cat
25,cat_train (1020).jpeg,cat
26,cat_train (1021).jpeg,cat
27,cat_train (1022).jpeg,cat
28,cat_train (1023).jpeg,cat
29,cat_train (1024).jpeg,cat
30,cat_train (1025).jpeg,cat
31,cat_train (1026).jpeg,cat
32,cat_train (1027).jpeg,cat
33,cat_train (1028).jpeg,cat
34,cat_train (1029).jpeg,cat
35,cat_train (103).jpeg,cat
36,cat_train (1030).jpeg,cat
37,cat_train (1031).jpeg,cat
38,cat_train (1032).jpeg,cat
39,cat_train (1033).jpeg,cat
40,cat_train (1034).jpeg,cat
41,cat_train (1035).jpeg,cat
42,cat_train (1036).jpeg,cat
43,cat_train (1037).jpeg,cat
44,cat_train (1038).jpeg,cat
45,cat_train (1039).jpeg,cat
46,cat_train (104).jpeg,cat
47,cat_train (1040).jpeg,cat
48,cat_train (1041).jpeg,cat
49,cat_train (1042).jpeg,cat
50,cat_train (1043).jpeg,cat
51,cat_train (1044).jpeg,cat
52,cat_train (1045).jpeg,cat
53,cat_train (1046).jpeg,cat
54,cat_train (1047).jpeg,cat
55,cat_train (1048).jpeg,cat
56,cat_train (1049).jpeg,cat
57,cat_train (105).jpeg,cat
58,cat_train (1050).jpeg,cat
59,cat_train (1051).jpeg,cat
60,cat_train (1052).jpeg,cat
61,cat_train (1053).jpeg,cat
62,cat_train (1054).jpeg,cat
63,cat_train (1055).jpeg,cat
64,cat_train (1056).jpeg,cat
65,cat_train (1057).jpeg,cat
66,cat_train (1058).jpeg,cat
67,cat_train (1059).jpeg,cat
68,cat_train (106).jpeg,cat
69,cat_train (1060).jpeg,cat
70,cat_train (1061).jpeg,cat
71,cat_train (1062).jpeg,cat
72,cat_train (1063).jpeg,cat
73,cat_train (1064).jpeg,cat
74,cat_train (1065).jpeg,cat
